business_dba_name,premise_city,premise_county,premise_street_address,premise_zip_code,licensing_authority_id,licensing_authority,license_status,license_designation,premise_state,business_image_url,license_status_date,license_term,issue_date,expiration_date,business_email,business_owner_name,business_structure,business_website,activity,business_phone,parcel_number,business_legal_name,data_refreshed_date,license_number,license_type,id,premise_latitude,premise_longitude
Beaver Bowls,Albany,Linn,1434 Pacific Blvd Se,97321,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,BEAVER BOWLS,2023-05-02T00:00:00,050 1011974206C,Recreational Retailer,050 1011974206C,44.63361949999999,-123.0863523
Chalice Farms/Homegrown,Albany,Linn,921 Se 9Th Ave,97322,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CHALICE FARMS/HOMEGROWN,2023-05-02T00:00:00,050 1016990CA13,Recreational Retailer,050 1016990CA13,44.6326586,-123.092992
Cloud 9 Cannabis,Albany,Linn,154 Manor St Ne,97322,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CLOUD 9 CANNABIS,2023-05-02T00:00:00,050 100736767B7,Recreational Retailer,050 100736767B7,44.6450931,-123.0591493
Emerald Triangle Dispensary,Albany,Linn,838 Pacific Blvd Se,97321,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,EMERALD TRIANGLE DISPENSARY,2023-05-02T00:00:00,050 1012475B14E,Recreational Retailer,050 1012475B14E,44.6327664,-123.0937856
Four Seasons Dispensary And Resource Center,Albany,Linn,30943 Ehlen Drive Ste A,97321,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,FOUR SEASONS DISPENSARY AND RESOURCE CENTER,2023-05-02T00:00:00,050 1007437F64E,Recreational Retailer,050 1007437F64E,44.56828609999999,-123.1518984
"Going Green Albany, Inc.",Albany,Linn,1225 S Commercial Way Se,97322,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"GOING GREEN ALBANY, INC.",2023-05-02T00:00:00,050 1005284C8D3,Recreational Retailer,050 1005284C8D3,44.6302688,-123.0542285
Green Room (Albany),Albany,Linn,820 Pacific Blvd Suite B,97321,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN ROOM (ALBANY),2023-05-02T00:00:00,050 1023875D6FF,Recreational Retailer,050 1023875D6FF,44.6326881,-123.0944716
Oregon Cannabis Co.,Albany,Linn,1977 Santiam Hwy.,97322,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,OREGON CANNABIS CO. ,2023-05-02T00:00:00,050 100542973D6,Recreational Retailer,050 100542973D6,44.6344062,-123.0812387
The Cannabis Shop,Albany,Linn,37575 Century Drive Ne,97322,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE CANNABIS SHOP,2023-05-02T00:00:00,050 10189098D1F,Recreational Retailer,050 10189098D1F,44.6678593,-123.056762
Green Cross Dispensary,Brownsville,Linn,221 West Bishop Way,97327,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GREEN CROSS DISPENSARY,2023-05-02T00:00:00,050 10055307DA2,Recreational Retailer,050 10055307DA2,44.3866582,-122.9866921
Canna Bros.,Lebanon,Linn,1111 S Main St,97355,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CANNA BROS.,2023-05-02T00:00:00,050 102229620BA,Recreational Retailer,050 102229620BA,44.5354142,-122.9067888
Cannabis Liquidation Outlet,Lebanon,Linn,1355 S Main Street,97355,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CANNABIS LIQUIDATION OUTLET,2023-05-02T00:00:00,050 1018900DA30,Recreational Retailer,050 1018900DA30,44.5331119,-122.9066243
La Mota,Lebanon,Linn,620 S Main St,97355,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,LA MOTA,2023-05-02T00:00:00,050 100392377F1,Recreational Retailer,050 100392377F1,44.5397959,-122.9072014
La Mota Lebanon 2 Llc,Lebanon,Linn,260 N Santiam Hwy,97355,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA LEBANON 2 LLC ,2023-05-02T00:00:00,050 10076627A48,Recreational Retailer,050 10076627A48,44.5475541,-122.9074687
La Mota Lebanon 3 Llc,Lebanon,Linn,2645 S Main Rd,97355,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA LEBANON 3 LLC ,2023-05-02T00:00:00,050 100858709AE,Recreational Retailer,050 100858709AE,44.5207282,-122.90678
Modern Forest,Lebanon,Linn,634 S. Main Street,97355,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MODERN FOREST,2023-05-02T00:00:00,050 10052346C33,Recreational Retailer,050 10052346C33,44.539617,-122.907482
Mr. Nice Guy Lebanon,Lebanon,Linn,700 Park St,97355,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MR. NICE GUY LEBANON,2023-05-02T00:00:00,050 1008370DC68,Recreational Retailer,050 1008370DC68,44.5388783,-122.9057487
The Oz. House,Lebanon,Linn,712 Park St,97355,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THE OZ. HOUSE,2023-05-02T00:00:00,050 10085557734,Recreational Retailer,050 10085557734,44.53894469999999,-122.9057302
"17 Farms, Llc",Sweet Home,Linn,550 Main Street,97386,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,"17 FARMS, LLC",2023-05-02T00:00:00,050 1012716F28A,Recreational Retailer,050 1012716F28A,44.3984101,-122.7377967
Going Green Sweet Home,Sweet Home,Linn,2252 Main Street,97386,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GOING GREEN SWEET HOME,2023-05-02T00:00:00,050 10069997015,Recreational Retailer,050 10069997015,44.4005833,-122.7160568
La Mota,Sweet Home,Linn,1025 Main Street,97386,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA,2023-05-02T00:00:00,050 100392377F1,Recreational Retailer,050 100392377F1,44.3973114,-122.7315235
La Mota,Sweet Home,Linn,4320 Hwy 20,97386,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA ,2023-05-02T00:00:00,050 100392377F1,Recreational Retailer,050 100392377F1,44.4047612,-122.6898772
La Mota Sweet Home Llc,Sweet Home,Linn,1025-1027 Main Street,97386,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,LA MOTA SWEET HOME LLC,2023-05-02T00:00:00,050 10106545CBB,Recreational Retailer,050 10106545CBB,44.3973114,-122.7315235
Modern Forest Sweet Home,Sweet Home,Linn,150 S Main St,97386,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,MODERN FOREST SWEET HOME,2023-05-02T00:00:00,050 10127721FCB,Recreational Retailer,050 10127721FCB,44.4000972,-122.74128
Tangent Farmacy,Tangent,Linn,32990 Hwy 99E,97389,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,TANGENT FARMACY,2023-05-02T00:00:00,050 100562112C2,Recreational Retailer,050 100562112C2,44.5411362,-123.1104266
Justice Cannabis Company,Aurora,Marion,21558 Or-99E,97002,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,JUSTICE CANNABIS COMPANY,2023-05-02T00:00:00,050 1016172E2AC,Recreational Retailer,050 1016172E2AC,45.2311012,-122.7555771
Hierba Buena,Hubbard,Marion,3674 Pacific Hwy,97032,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,HIERBA BUENA ,2023-05-02T00:00:00,050 1007695C5F7,Recreational Retailer,050 1007695C5F7,45.1814832,-122.8039153
Elevate Northwest,Keizer,Marion,3700 River Rd N Suite 9,97303,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ELEVATE NORTHWEST ,2023-05-02T00:00:00,050 10191166307,Recreational Retailer,050 10191166307,44.9801903,-123.0262456
Oregon Bud Company,Keizer,Marion,3450 River Rd N,97303,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,OREGON BUD COMPANY ,2023-05-02T00:00:00,050 1000651584B,Recreational Retailer,050 1000651584B,44.9756288,-123.0268591
Stokes Cannabis,Keizer,Marion,4570 River Rd N,97303,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,STOKES CANNABIS,2023-05-02T00:00:00,050 1017194C683,Recreational Retailer,050 1017194C683,44.9907111,-123.02629
The Grass Hut Ii,Keizer,Marion,4085 Cherry Avenue Ne,97303,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THE GRASS HUT II,2023-05-02T00:00:00,050 10044492D86,Recreational Retailer,050 10044492D86,44.98415,-123.0253042
Canyon Cannabis,Mill City,Marion,415 Ne Santiam Blvd,97360,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CANYON CANNABIS,2023-05-02T00:00:00,050 10041223AB3,Recreational Retailer,050 10041223AB3,44.7557729,-122.4714871
A Prime Leaf,Salem,Marion,2974 12Th St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,A PRIME LEAF,2023-05-02T00:00:00,050 100834893DE,Recreational Retailer,050 100834893DE,44.9117896,-123.0304152
Astral Markets,Salem,Marion,4560 Commercial Street Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,ASTRAL MARKETS,2023-05-02T00:00:00,050 1017795BA15,Recreational Retailer,050 1017795BA15,44.8885115,-123.0323618
Canna Bros.,Salem,Marion,1252 23Rd St Se Suite 150,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CANNA BROS. ,2023-05-02T00:00:00,050 1018084C48A,Recreational Retailer,050 1018084C48A,44.9231286,-123.0143044
Cannamedicine,Salem,Marion,3212 Triangle Dr Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CANNAMEDICINE,2023-05-02T00:00:00,050 1000170A08B,Recreational Retailer,050 1000170A08B,44.9100184,-123.0461647
Capitol Green Leaf,Salem,Marion,1890 Capitol St Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CAPITOL GREEN LEAF,2023-05-02T00:00:00,050 10052560FB5,Recreational Retailer,050 10052560FB5,44.9546328,-123.0201962
Chalice Farms/Homegrown,Salem,Marion,1803 Lansing Ave Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CHALICE FARMS/HOMEGROWN,2023-05-02T00:00:00,050 1016993F313,Recreational Retailer,050 1016993F313,44.9517203,-122.9981014
Chalice Farms/Homegrown,Salem,Marion,2820 Liberty Street Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CHALICE FARMS/HOMEGROWN,2023-05-02T00:00:00,050 1016993F313,Recreational Retailer,050 1016993F313,44.9679663,-123.0314166
Cherry City Compassion,Salem,Marion,1855 25Th Street,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CHERRY CITY COMPASSION,2023-05-02T00:00:00,050 10160557FF1,Recreational Retailer,050 10160557FF1,44.9201082,-123.0107271
Chronic West,Salem,Marion,1860 State St,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CHRONIC WEST,2023-05-02T00:00:00,050 10228847753,Recreational Retailer,050 10228847753,44.9346361,-123.0186424
Diem,Salem,Marion,1040 Commercial Street Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,DIEM,2023-05-02T00:00:00,050 10052885D4C,Recreational Retailer,050 10052885D4C,44.9308456,-123.043614
Eden,Salem,Marion,4618 Portland Rd. Ne #110,97305,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,EDEN,2023-05-02T00:00:00,050 1015197A5ED,Recreational Retailer,050 1015197A5ED,44.9869466,-122.9891176
Good Karma Commercial,Salem,Marion,3755 Commercial St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GOOD KARMA COMMERCIAL,2023-05-02T00:00:00,050 1022388374D,Recreational Retailer,050 1022388374D,44.9018267,-123.0407504
Green Cross Cannabis Emporium,Salem,Marion,4550 Commercial St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GREEN CROSS CANNABIS EMPORIUM,2023-05-02T00:00:00,050 100137839DD,Recreational Retailer,050 100137839DD,44.88848369999999,-123.0331346
Green Cross Cannabis Emporium,Salem,Marion,3165 River Road N,97303,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GREEN CROSS CANNABIS EMPORIUM,2023-05-02T00:00:00,050 100137839DD,Recreational Retailer,050 100137839DD,44.9722775,-123.0301756
Green Cross Cannabis Emporium,Salem,Marion,1695 Center St Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GREEN CROSS CANNABIS EMPORIUM,2023-05-02T00:00:00,050 100137839DD,Recreational Retailer,050 100137839DD,44.9395303,-123.0182717
Growing Releaf Salem,Salem,Marion,309 Shipping St Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,GROWING RELEAF SALEM,2023-05-02T00:00:00,050 10134898DE3,Recreational Retailer,050 10134898DE3,44.9546131,-123.0333742
Herbal Remedies 2,Salem,Marion,3940 Commercial St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HERBAL REMEDIES 2,2023-05-02T00:00:00,050 1005488731C,Recreational Retailer,050 1005488731C,44.8989859,-123.0380551
Hi Cascade,Salem,Marion,5070 Commercial St Se Suite 115 & 120,97306,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HI CASCADE,2023-05-02T00:00:00,050 10008629837,Recreational Retailer,050 10008629837,44.8817471,-123.029234
La Mota,Salem,Marion,1685 Lancaster Dr Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LA MOTA ,2023-05-02T00:00:00,050 1013753ACFE,Recreational Retailer,050 1013753ACFE,44.9498171,-122.9842454
Lit Company,Salem,Marion,1252 23Rd Street Se  Suite 120,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,LIT COMPANY,2023-05-02T00:00:00,050 10167004BB9,Recreational Retailer,050 10167004BB9,44.92313,-123.014309
Livewell Cannabis,Salem,Marion,696 Hawthorne Ave Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,LIVEWELL CANNABIS,2023-05-02T00:00:00,050 100088728CB,Recreational Retailer,050 100088728CB,44.9392567,-122.9914549
Livewell Dispensary,Salem,Marion,1522 Broadway St Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,LIVEWELL DISPENSARY,2023-05-02T00:00:00,050 100869451F2,Recreational Retailer,050 100869451F2,44.9537938,-123.0294438
Mr. Nice Guy Market St,Salem,Marion,2794 Market St Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,MR. NICE GUY MARKET ST,2023-05-02T00:00:00,050 1008335A9E3,Recreational Retailer,050 1008335A9E3,44.94956790000001,-123.0010219
Mr. Nice Guy Salem,Salem,Marion,1460 State Street,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,MR. NICE GUY SALEM,2023-05-02T00:00:00,050 10079072E3A,Recreational Retailer,050 10079072E3A,44.9358368,-123.0235829
Nectar,Salem,Marion,4142 Liberty Road S,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,NECTAR,2023-05-02T00:00:00,050 1000206828A,Recreational Retailer,050 1000206828A,44.8954498,-123.0553963
Nectar,Salem,Marion,1130 Royvonne Ave Ste 103,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NECTAR,2023-05-02T00:00:00,050 1000206828A,Recreational Retailer,050 1000206828A,44.8855818,-123.0317256
Nectar,Salem,Marion,3514 Commercial St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NECTAR,2023-05-02T00:00:00,050 1000206828A,Recreational Retailer,050 1000206828A,44.9044186,-123.0408072
Nectar,Salem,Marion,"1130 Royvonne Ave Se, #104",97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,NECTAR ,2023-05-02T00:00:00,050 1000206828A,Recreational Retailer,050 1000206828A,44.8855138,-123.0317222
Og Collective,Salem,Marion,1617 Liberty St Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,OG COLLECTIVE,2023-05-02T00:00:00,050 101185442C9,Recreational Retailer,050 101185442C9,44.9553437,-123.0322953
"Og Collective, Llc",Salem,Marion,3537 Commercial St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"OG COLLECTIVE, LLC",2023-05-02T00:00:00,050 100157201FF,Recreational Retailer,050 100157201FF,44.9038112,-123.0415512
"Og Collective, Llc",Salem,Marion,3410 Hawthorne Ave Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"OG COLLECTIVE, LLC",2023-05-02T00:00:00,050 100157201FF,Recreational Retailer,050 100157201FF,44.9688667,-122.9908248
"Og Collective, Llc",Salem,Marion,1255 Cross St Se Suite 150,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"OG COLLECTIVE, LLC",2023-05-02T00:00:00,050 100157201FF,Recreational Retailer,050 100157201FF,44.925945,-123.029834
Paka House Cannabis,Salem,Marion,1310 12Th St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,PAKA HOUSE CANNABIS,2023-05-02T00:00:00,050 10226385291,Recreational Retailer,050 10226385291,44.9246421,-123.0301865
Piper'S Dispensary,Salem,Marion,1729 Center St. Ne #170,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,PIPER'S DISPENSARY,2023-05-02T00:00:00,050 10044474E1C,Recreational Retailer,050 10044474E1C,44.93967749999999,-123.0176324
Power Plant Salem,Salem,Marion,4340 Commercial St Se Suite 170,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,POWER PLANT SALEM,2023-05-02T00:00:00,050 10168807BB0,Recreational Retailer,050 10168807BB0,44.8918292,-123.0336933
Preserve Oregon,Salem,Marion,1201 Commercial St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,PRESERVE OREGON,2023-05-02T00:00:00,050 1009465D34F,Recreational Retailer,050 1009465D34F,44.9291048,-123.0444862
Reefer Madness,Salem,Marion,1675 Fairgrounds Rd. Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,REEFER MADNESS,2023-05-02T00:00:00,050 1005776B2C0,Recreational Retailer,050 1005776B2C0,44.9540563,-123.0250369
"Salem Organics, Llc",Salem,Marion,4980 Commercial Street Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,"SALEM ORGANICS, LLC",2023-05-02T00:00:00,050 1008736780D,Recreational Retailer,050 1008736780D,44.8840178,-123.0311255
Simple Cannabis Co.,Salem,Marion,1448 12Th St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,SIMPLE CANNABIS CO.,2023-05-02T00:00:00,050 1011108FB30,Recreational Retailer,050 1011108FB30,44.9233851,-123.0304882
Thc Recreation Station Salem,Salem,Marion,1295 Oxford St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THC RECREATION STATION SALEM,2023-05-02T00:00:00,050 10044175634,Recreational Retailer,050 10044175634,44.9222483,-123.0295167
The Bake Shop,Salem,Marion,3125B Portland Rd Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE BAKE SHOP,2023-05-02T00:00:00,050 1010641CEDD,Recreational Retailer,050 1010641CEDD,44.9672528,-123.0092452
The Chronic On Commercial,Salem,Marion,3024 Commercial St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE CHRONIC ON COMMERCIAL,2023-05-02T00:00:00,050 10226326FC2,Recreational Retailer,050 10226326FC2,44.9114127,-123.0446441
The Holistic Choice,Salem,Marion,1045 Commercial St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THE HOLISTIC CHOICE,2023-05-02T00:00:00,050 100431414A0,Recreational Retailer,050 100431414A0,44.9306981,-123.0447359
The Joint On Market,Salem,Marion,3270 Market St. Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THE JOINT ON MARKET,2023-05-02T00:00:00,050 1000080680D,Recreational Retailer,050 1000080680D,44.9497718,-122.9945983
The Joint On State,Salem,Marion,2350 State St,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THE JOINT ON STATE,2023-05-02T00:00:00,050 1002423E8DA,Recreational Retailer,050 1002423E8DA,44.9331689,-123.0133069
The Rock Dispensary,Salem,Marion,1911 Lancaster Dr Ne,97305,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,THE ROCK DISPENSARY,2023-05-02T00:00:00,050 10170663A49,Recreational Retailer,050 10170663A49,44.95261920000001,-122.9845551
Tj'S On Broadway,Salem,Marion,1487 Broadway St Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,TJ'S ON BROADWAY,2023-05-02T00:00:00,050 1017432812F,Recreational Retailer,050 1017432812F,44.9534052,-123.0308584
Truth Dispensary,Salem,Marion,1735 Lancaster Dr. Ne,97305,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,TRUTH DISPENSARY,2023-05-02T00:00:00,050 10103753D2B,Recreational Retailer,050 10103753D2B,44.951102,-122.9840288
Weedagain,Salem,Marion,2410 Mission Street Se Suite 010,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,WEEDAGAIN,2023-05-02T00:00:00,050 10114946F80,Recreational Retailer,050 10114946F80,44.9230027,-123.0127099
Weedagain,Salem,Marion,2390 Fairgrounds Rd Ne,97301,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,WEEDAGAIN,2023-05-02T00:00:00,050 10114946F80,Recreational Retailer,050 10114946F80,44.9593011,-123.0159557
"Yak, Inc.",Salem,Marion,1215 Wilbur St Se,97302,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,"YAK, INC.",2023-05-02T00:00:00,050 101220555C6,Recreational Retailer,050 101220555C6,44.9250887,-123.0300633
Silver Creek Dispensary,Silverton,Marion,307 E. Main Street,97381,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,SILVER CREEK DISPENSARY,2023-05-02T00:00:00,050 10096429A3B,Recreational Retailer,050 10096429A3B,45.005895,-122.7817505
The Lucky Leaf,Silverton,Marion,208 Jersey St,97381,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,THE LUCKY LEAF,2023-05-02T00:00:00,050 1001843EA13,Recreational Retailer,050 1001843EA13,45.0041063,-122.7816228
Canna Bros. Stayton,Stayton,Marion,2420 Martin Dr,97383,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,CANNA BROS. STAYTON,2023-05-02T00:00:00,050 10107001EDC,Recreational Retailer,050 10107001EDC,44.812995,-122.792826
Homegrown Remedies,Stayton,Marion,277 N 3Rd Ave,97383,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HOMEGROWN REMEDIES,2023-05-02T00:00:00,050 10049061904,Recreational Retailer,050 10049061904,44.79698639999999,-122.7925667
"Today'S Herbal Choice Stayton, Llc",Stayton,Marion,494 Wilco Road,97132,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use,OR,,,,,,,,,,,,,"TODAY'S HERBAL CHOICE STAYTON, LLC",2023-05-02T00:00:00,050 10129165BBF,Recreational Retailer,050 10129165BBF,44.7985181,-122.8146316
Hgr2,Turner,Marion,7314 3Rd St Se,97392,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,HGR2,2023-05-02T00:00:00,050 10097838926,Recreational Retailer,050 10097838926,44.8491352,-122.9546727
Treestar,Woodburn,Marion,1385 Industrial Ave.,97071,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,TREESTAR,2023-05-02T00:00:00,050 1007069E349,Recreational Retailer,050 1007069E349,45.1578379,-122.830404
Cannabis Nation Gresham,Gresham,Multnomah,1500 Ne Division St,97030,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,CANNABIS NATION GRESHAM,2023-05-02T00:00:00,050 10020141411,Recreational Retailer,050 10020141411,45.50453419999999,-122.4164426
Green Mountain Fire,Gresham,Multnomah,21951 Se Stark St.,97030,OLCC,Oregon Liquor and Cannabis Commission,Active,Adult-Use and Medicinal,OR,,,,,,,,,,,,,GREEN MOUNTAIN FIRE,2023-05-02T00:00:00,050 10064647FD2,Recreational Retailer,050 10064647FD2,45.51928239999999,-122.4362079
